,Short_Ticker,Name,Sector
0,AAAU,Perth Mint Physical Gold ETF,Precious Metals
1,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
2,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
3,ABEQ,Absolute Core Strategy ETF,All Cap Equities
4,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
5,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
6,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
7,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
8,ACTV,LeaderShares Activist Leaders ETF,N/A
9,ACVF,American Conservative Values ETF,N/A
10,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
11,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
12,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
13,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
14,ADFI,Anfield Dynamic Fixed Income ETF,Total Bond Market
15,ADME,Aptus Behavioral Momentum ETF,Hedge Fund
16,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
17,ADVR,AVDR US LargeCap Leading ETF,N/A
18,AESR,Anfield Equity Sector Rotation ETF,Large Cap Growth Equities
19,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
20,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
21,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
22,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
23,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
24,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
25,AAAU,Perth Mint Physical Gold ETF,Precious Metals
26,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
27,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
28,ABEQ,Absolute Core Strategy ETF,All Cap Equities
29,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
30,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
31,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
32,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
33,ACTV,LeaderShares Activist Leaders ETF,N/A
34,ACVF,American Conservative Values ETF,N/A
