,Short_Ticker,Name,Sector
0,A,Agilent Technologies,Healthcare
1,AA,Alcoa Corp,Basic Materials
2,AAC,Aac Holdings Inc,
3,AAC.U,Ares Acquisition Corporation Units,Asda store workers win equal pay fight in Supreme Court
4,AAI-B,Arlington Asset Investment Corp,Asda store workers win equal pay fight in Supreme Court
5,AAI-C,Arlington Asset Investment Corp [Ai/Pc],Asda store workers win equal pay fight in Supreme Court
6,AAIC,Arlington Asset Investment Corp,Real Estate
7,AAN,Aarons Holdings Company Inc,Consumer Cyclical
8,AAP,Advance Auto Parts Inc,Consumer Cyclical
9,AAQ.U,Accelerate Acquisition Corp [Aaqc.U],Asda store workers win equal pay fight in Supreme Court
10,AAT,American Assets Trust,Real Estate
11,AB,Alliancebernstein Holding LP,Financial Services
12,ABB,Abb Ltd,Industrials
13,ABBV,Abbvie Inc,Healthcare
14,ABC,Amerisourcebergen Corp,Healthcare
15,ABEV,Ambev S.A.,Consumer Defensive
16,ABG,Asbury Automotive Group Inc,Consumer Cyclical
17,ABM,ABM Industries Inc,Industrials
18,ABR,Arbor Realty Trust,Real Estate
19,ABR-A,Arbor Rlty TR Inc [Abr/Pa],Asda store workers win equal pay fight in Supreme Court
20,ABR-B,Arbor Rlty TR Inc [Abr/Pb],Asda store workers win equal pay fight in Supreme Court
21,ABR-C,Arbor Rlty TR Inc [Abr/Pc],Asda store workers win equal pay fight in Supreme Court
22,ABT,Abbott Laboratories,Healthcare
23,AC,Associated Capital Group Inc,Financial Services
24,ACA,Arcosa Inc,Industrials
25,ACB,Aurora Cannabis Inc,Healthcare
26,ACC,American Campus Communities Inc,Real Estate
27,ACCO,Acco Brands Corp,Industrials
28,ACEL,Accel Entertainment Inc,Consumer Cyclical
29,ACH,Aluminum Corp of China Ltd,Basic Materials
30,ACI,Albertsons Companies Inc Cl A,Consumer Defensive
31,ACI.S,Atlas Crest Investment Corp II [Acii.U],Asda store workers win equal pay fight in Supreme Court
32,ACI.U,Atlas Crest Investment Corp 1 [Acic.U],Asda store workers win equal pay fight in Supreme Court
33,ACI.W,Atlas Crest Investment Corp 1 WT,Asda store workers win equal pay fight in Supreme Court
34,ACIC,Atlas Crest Investment Corp Cl A,Financial Services
35,ACM,Aecom Technology Corp,Industrials
36,ACN,Accenture Plc,Technology
37,ACN.U,Ascendant Digital Acquisition Corp,Asda store workers win equal pay fight in Supreme Court
38,ACN.W,Ascendant Digital Acquisition WT,Asda store workers win equal pay fight in Supreme Court
39,ACND,Ascendant Digital Acquisition Corp Cl A,Financial Services
40,ACP,Avenue Income Credit Strategies,Financial Services
41,ACR,Acres Commercial Realty Corp,Real Estate
42,ACR-C,Acres Commercial Realty Corp Pfd,Asda store workers win equal pay fight in Supreme Court
43,ACRE,Ares Commercial Real Estate Cor,Real Estate
44,ACV,Allianzgi Diversified Income &,Financial Services
45,ADC,Agree Realty Corp,Real Estate
46,ADCT,Adc Therapeutics Sa,Healthcare
47,ADE.U,Adit Edtech Acquisition Corp [Adex.U],Asda store workers win equal pay fight in Supreme Court
48,ADE.W,Adit Edtech Acquisition Corp WT [Adex/W],Asda store workers win equal pay fight in Supreme Court
49,ADEX,Adit Edtech Acquisition Corp,Financial Services
50,ADM,Archer Daniels Midland,Consumer Defensive
51,ADNT,Adient Plc,Consumer Cyclical
52,ADS,Alliance Data Systems Corp,Financial Services
53,ADT,ADT Inc,Industrials
54,ADX,Adams Diversified Equity Fund,Financial Services
55,AEB,Aegon N.V. Perp Cap Secs Floating Rate,
56,AEE,Ameren Corp,Utilities
57,AEFC,Aegon Funding Company Llc 5.10%,
58,AEG,Aegon N.V.,Financial Services
59,AEL,American Equity Investment Life,Financial Services
60,AEL-A,American Equity Investment Life Holding,Asda store workers win equal pay fight in Supreme Court
61,AEL-B,American Equity Investment Life Holding,Asda store workers win equal pay fight in Supreme Court
62,AEM,Agnico-Eagle Mines Ltd,Basic Materials
63,AENZ,Aenza S.A.A.,Industrials
64,AEO,American Eagle Outfitters,Consumer Cyclical
65,AER,Aercap Holdings N.V.,Industrials
66,AES,The Aes Corp,Utilities
67,AESC,Aes Corp,Utilities
68,AEV.W,Aeva Technologies Inc WT,Asda store workers win equal pay fight in Supreme Court
69,AEVA,Aeva Technologies Inc,Consumer Cyclical
70,AFB,Alliance National Municipal,Financial Services
71,AFC,Allied Capital Corp,
72,AFG,American Financial Group,Financial Services
73,AFGB,American Financial Group Inc 5.875%,
74,AFGC,American Financial Group Inc 5.125%,
75,AFGD,American Financial Group Inc 5.625%,
76,AFGE,American Financial Group Inc 4.500%,
77,AFI,Armstrong Flooring Inc,Industrials
78,AFL,Aflac Inc,Financial Services
79,AFT,Apollo Senior Floating Rate Fund Inc,Financial Services
80,AG,First Majestic Silver,Basic Materials
81,AGA.U,African Gold Acquisition Corp [Agac.U],Asda store workers win equal pay fight in Supreme Court
82,AGCB,Altimeter Growth Corp 2 Cl A,Financial Services
83,AGCO,Agco Corp,Industrials
84,AGD,Alpine Global Dynamic Dividend Fund,
85,AGI,Alamos Gold Inc,Basic Materials
86,AGM,Federal Agricultural Mortgage Corp,Financial Services
87,AGM-C,Federal Agricultural Mortgage Corp,Asda store workers win equal pay fight in Supreme Court
88,AGM-D,Federal Agricultural Mortgage Corp,Asda store workers win equal pay fight in Supreme Court
89,AGM-E,Federal Agricultural Mortgage Corp,Asda store workers win equal pay fight in Supreme Court
90,AGM-F,Federal Agricultural Mortgage Corp,Asda store workers win equal pay fight in Supreme Court
91,AGM.A,Federal Agricultural Mortgage Corp,Asda store workers win equal pay fight in Supreme Court
92,AGO,Assured Guaranty Ltd,Financial Services
93,AGO-B,Assured Guaranty Municipal Hlds IN,Asda store workers win equal pay fight in Supreme Court
94,AGO-E,Assured Guaranty Municipal Hlds IN,Asda store workers win equal pay fight in Supreme Court
95,AGO-F,Assured Guaranty Municipal Hlds IN,Asda store workers win equal pay fight in Supreme Court
96,AGR,Avangrid Inc,Utilities
97,AGRO,Adecoagro S.A.,Consumer Defensive
98,AGS,Playags Inc,Consumer Cyclical
99,AGX,Argan Inc,Industrials
100,AHC,A.H. Belo Corp,Communication Services
101,AHH,Armada Hoffler Properties Inc,Real Estate
102,AHH-A,Armada Hoffler Pptys Inc [Ahh/Pa],Asda store workers win equal pay fight in Supreme Court
103,AHL-C,Aspen Insurance Holdings Ltd [Ahl/Pc],Asda store workers win equal pay fight in Supreme Court
104,AHL-D,Aspen Insurance Holdings Ltd [Ahl/Pd],Asda store workers win equal pay fight in Supreme Court
105,AHL-E,Aspen Insurance Holdings Ltd [Ahl/Pe],Asda store workers win equal pay fight in Supreme Court
106,AHT,Ashford Hospitality Trust Inc,Real Estate
107,AHT-D,Ashford Hospitality TR Inc [Aht/Pd],Asda store workers win equal pay fight in Supreme Court
108,AHT-F,Ashford Hospitality TR Inc [Aht/Pf],Asda store workers win equal pay fight in Supreme Court
109,AHT-G,Ashford Hospitality TR Inc [Aht/Pg],Asda store workers win equal pay fight in Supreme Court
110,AHT-H,Ashford Hospitality TR Inc [Aht/Ph],Asda store workers win equal pay fight in Supreme Court
111,AHT-I,Ashford Hospitality TR Inc [Aht/Pi],Asda store workers win equal pay fight in Supreme Court
112,AI,C3.Ai Inc Cl A,Technology
113,AIC,Arlington Asset Investment Cor,
114,AIF,Apollo Tactical Income Fund Inc,Financial Services
115,AIG,American International Group,Financial Services
116,AIG-A,American International Group Inc,Asda store workers win equal pay fight in Supreme Court
117,AIN,Albany International Corp,Consumer Cyclical
118,AIO,Virtus Allianzgi Artificial Intel & Tech,
119,AIR,AAR Corp,Industrials
120,AIRC,Apartment Income REIT Corp,Real Estate
121,AIT,Applied Industrial Technologies,Industrials
122,AIV,Apartment Investment and Management,Real Estate
123,AIW,Arlington Asset Investment Cor,
124,AIZ,Assurant Inc,Financial Services
125,AIZN,Assurant Inc 5.25% Subordinated Notes,
126,AIZP,Assurant Inc 6.50% Series D Mandatory,
127,AJA.U,Ajax I Unit 1 Ord Shs Cl A [Ajax.U],Asda store workers win equal pay fight in Supreme Court
128,AJA.W,Ajax I WT [Ajax/W],Asda store workers win equal pay fight in Supreme Court
129,AJAX,Ajax I Cl A,Financial Services
130,AJG,Arthur J. Gallagher & Company,Financial Services
131,AJRD,Aerojet Rocketdyne Holdings,Industrials
132,AJX,Great Ajax Corp,Real Estate
133,AJXA,Great Ajax Corp 7.25% Convertible Senior,
134,AKO.A,Embotell Andina Sa Cl A,Asda store workers win equal pay fight in Supreme Court
135,AKO.B,Embotell Andna Sa Cl B,Asda store workers win equal pay fight in Supreme Court
136,AKR,Acadia Realty Trust,Real Estate
137,AL,Air Lease Corp Cl A,Industrials
138,AL-A,Air Lease Corp [Al/Pa],Asda store workers win equal pay fight in Supreme Court
139,ALB,Albemarle Corp,Basic Materials
140,ALC,Alcon Inc,Healthcare
141,ALE,Allete Inc,Utilities
142,ALEX,Alexander and Baldwin Inc,Real Estate
143,ALG,Alamo Group,Industrials
144,ALI-A,Altera Infrastructure LP 7.25% Ser A,Asda store workers win equal pay fight in Supreme Court
145,ALI-B,Altera Infrastructure LP 8.50% Ser B,Asda store workers win equal pay fight in Supreme Court
146,ALI-E,Altera Infrastructure LP 8.875% Ser E,Asda store workers win equal pay fight in Supreme Court
147,ALK,Alaska Air Group,Industrials
148,ALL,Allstate Corp,Financial Services
149,ALL-B,Allstate Corp [All/Pb],Asda store workers win equal pay fight in Supreme Court
150,ALL-G,Allstate Corp [All/Pg],Asda store workers win equal pay fight in Supreme Court
151,ALL-H,Allstate Corp [All/Ph],Asda store workers win equal pay fight in Supreme Court
152,ALL-I,Allstate Corp [All/Pi],Asda store workers win equal pay fight in Supreme Court
153,ALL-Y,GMAC Capital Trust I [Ally/Pa],Asda store workers win equal pay fight in Supreme Court
154,ALLE,Allegion Plc,Industrials
155,ALLY,Ally Financial,Financial Services
156,ALP-Q,Alabama Power CO [Alp/Pq],Asda store workers win equal pay fight in Supreme Court
157,ALSN,Allison Transmission Holdings,Consumer Cyclical
158,ALT-A,Alta Equipment Group Inc,Asda store workers win equal pay fight in Supreme Court
159,ALT.W,Alta Equipment Group Inc [Altg/W],Asda store workers win equal pay fight in Supreme Court
160,ALTG,Alta Equipment Group Inc,Industrials
