Symbol,Name,Sector
A,Agilent Technologies Inc. Common Stock,Capital Goods
AA,Alcoa Corporation Common Stock ,Basic Industries
AAC,Ares Acquisition Corporation,
AACG,ATA Creativity Global American Depositary Shares,Consumer Services
AACQ,Artius Acquisition Inc. Class A Common Stock,Basic Industries
AACQU,Artius Acquisition Inc. Unit ,Basic Industries
AACQW,Artius Acquisition Inc Warrant,Basic Industries
AAIC,Arlington Asset Investment Corp Class A (new),Consumer Services
AAIC^B,Arlington Asset Investment Corp 7.00% ,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,
AAL,American Airlines Group Inc. Common Stock,Transportation
AAMC,Altisource Asset Management Corp Com,Finance
AAME,Atlantic American Corporation Common Stock,Finance
AAN,Aarons Holdings Company Inc. Common Stock ,Technology
AAOI,Applied Optoelectronics Inc. Common Stock,Technology
AAON,AAON Inc. Common Stock,Capital Goods
AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,Consumer Services
AAPL,Apple Inc. Common Stock,Technology
AAT,American Assets Trust Inc. Common Stock,Consumer Services
AAU,Almaden Minerals Ltd. Common Shares,Basic Industries
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,Transportation
AB,AllianceBernstein Holding L.P.  Units,Finance
ABB,ABB Ltd Common Stock,Consumer Durables
ABBV,AbbVie Inc. Common Stock,Health Care
ABC,AmerisourceBergen Corporation Common Stock,Health Care
ABCB,Ameris Bancorp Common Stock,Finance
ABCL,AbCellera Biologics Inc. Common Shares,Health Care
ABCM,Abcam plc American Depositary Shares,Health Care
ABEO,Abeona Therapeutics Inc. Common Stock,Health Care
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Consumer Non-Durables
ABG,Asbury Automotive Group Inc Common Stock,Consumer Durables
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,Finance
ABIO,ARCA biopharma Inc. Common Stock,Health Care
ABM,ABM Industries Incorporated Common Stock,Finance
ABMD,ABIOMED Inc. Common Stock,Health Care
ABNB,Airbnb Inc. Class A Common Stock,Finance
ABR,Arbor Realty Trust Common Stock,Consumer Services
ABR^A,Arbor Realty Trust Preferred Series A,
ABR^B,Arbor Realty Trust Cumulative Redeemable Preferred Series B,
ABR^C,Arbor Realty Trust Cumulative Redeemable Preferred Series C,
ABST,Absolute Software Corporation Common Stock,Technology
ABT,Abbott Laboratories Common Stock,Health Care
ABTX,Allegiance Bancshares Inc. Common Stock,Finance
ABUS,Arbutus Biopharma Corporation Common Stock,Health Care
AC,Associated Capital Group Inc. Common Stock,Finance
ACA,Arcosa Inc. Common Stock ,Capital Goods
ACAC,Acies Acquisition Corp. Class A Ordinary Share,Technology
ACACU,Acies Acquisition Corp. Unit,Technology
ACACW,Acies Acquisition Corp. Warrant,Technology
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care
ACAHU,Atlantic Coastal Acquisition Corp. Unit,Finance
ACB,Aurora Cannabis Inc. Common Shares,Consumer Durables
ACBI,Atlantic Capital Bancshares Inc. Common Stock,Finance
ACC,American Campus Communities Inc Common Stock,Consumer Services
ACCD,Accolade Inc. Common Stock,
ACCO,Acco Brands Corporation Common Stock,Consumer Durables
ACEL,Accel Entertainment Inc. ,Consumer Services
ACER,Acer Therapeutics Inc. Common Stock (DE),Health Care
ACET,Adicet Bio Inc. Common Stock ,Health Care
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,Technology
ACEVU,ACE Convergence Acquisition Corp. Unit,Technology
ACEVW,ACE Convergence Acquisition Corp. Warrant,Technology
ACGL,Arch Capital Group Ltd. Common Stock,Finance
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance
ACGLP,Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,Finance
ACH,Aluminum Corporation of China Limited American Depositary Shares,Basic Industries
ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care
ACHV,Achieve Life Sciences Inc. Common Shares,Health Care
ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Services
ACIC,Atlas Crest Investment Corp. Class A Common Stock,Finance
ACIU,AC Immune SA Common Stock,Health Care
ACIW,ACI Worldwide Inc. Common Stock,Technology
ACKIT,Ackrell SPAC Partners I Co. Subunits,Finance
ACKIU,Ackrell SPAC Partners I Co. Units,Finance
ACKIW,Ackrell SPAC Partners I Co. Warrants,Finance
ACLS,Axcelis Technologies Inc. Common Stock,Technology
ACM,AECOM Common Stock,Consumer Services
ACMR,ACM Research Inc. Class A Common Stock,Technology
ACN,Accenture plc Class A Ordinary Shares (Ireland),Miscellaneous
ACNB,ACNB Corporation Common Stock,Finance
ACND,Ascendant Digital Acquisition Corp. Class A Ordinary Shares,Finance
ACOR,Acorda Therapeutics Inc. Common Stock,Health Care
ACP,Aberdeen Income Credit Strategies Fund Common Shares,
ACQRU,Independence Holdings Corp. Units,Finance
ACR,ACRES Commercial Realty Corp. Common Stock,Consumer Services
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,
ACRE,Ares Commercial Real Estate Corporation Common Stock,Consumer Services
ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,Health Care
ACST,Acasti Pharma Inc. Class A Common Stock,Health Care
ACTC,ArcLight Clean Transition Corp. Class A Ordinary Shares,Capital Goods
ACTCU,ArcLight Clean Transition Corp. Unit,Capital Goods
ACTCW,ArcLight Clean Transition Corp. Warrant,Capital Goods
ACTDU,ArcLight Clean Transition Corp. II Unit,Finance
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous
ACU,Acme United Corporation. Common Stock,Capital Goods
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,
ACVA,ACV Auctions Inc. Class A Common Stock,
ACY,AeroCentury Corp. Common Stock,Technology
ADAG,Adagene Inc. American Depositary Shares,Health Care
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Health Care
ADBE,Adobe Inc. Common Stock,Technology
ADC,Agree Realty Corporation Common Stock,Consumer Services
ADCT,ADC Therapeutics SA Common Shares,Health Care
ADER,26 Capital Acquisition Corp. Class A Common Stock,Finance
ADERU,26 Capital Acquisition Corp. Unit,Finance
ADERW,26 Capital Acquisition Corp. Warrant,Finance
ADES,Advanced Emissions Solutions Inc. Common Stock,Basic Industries
ADEX,Adit EdTech Acquisition Corp. Common Stock,Finance
ADFI,Anfield Dynamic Fixed Income ETF,
ADI,Analog Devices Inc. Common Stock,Technology
ADIL,Adial Pharmaceuticals Inc Common Stock,Health Care
ADILW,Adial Pharmaceuticals Inc Warrant,Health Care
ADM,Archer-Daniels-Midland Company Common Stock,Consumer Non-Durables
ADMA,ADMA Biologics Inc Common Stock,Health Care
ADME,Aptus Drawdown Managed Equity ETF,
ADMP,Adamis Pharmaceuticals Corporation Common Stock,Health Care
ADMS,Adamas Pharmaceuticals Inc. Common Stock,Health Care
ADN,Advent Technologies Holdings Inc. Class A Common Stock,Miscellaneous
ADNT,Adient plc Ordinary Shares ,Capital Goods
ADNWW,Advent Technologies Holdings Inc. Warrant,Miscellaneous
ADOC,Edoc Acquisition Corp. Class A Ordinary Share,Finance
ADOCR,Edoc Acquisition Corp. Right,Finance
ADOCW,Edoc Acquisition Corp. Warrant,Finance
ADP,Automatic Data Processing Inc. Common Stock,Technology
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care
ADRA,Adara Acquisition Corp. Class A Common Stock,
ADS,Alliance Data Systems Corporation Common Stock,Miscellaneous
ADSK,Autodesk Inc. Common Stock,Technology
ADT,ADT Inc. Common Stock,Consumer Services
ADTN,ADTRAN Inc. Common Stock,Public Utilities
ADTX,ADiTx Therapeutics Inc. Common Stock,Health Care
ADUS,Addus HomeCare Corporation Common Stock,Health Care
ADV,Advantage Solutions Inc. Class A Common Stock,Miscellaneous
ADVM,Adverum Biotechnologies Inc. Common Stock,Health Care
ADVWW,Advantage Solutions Inc. Warrant,Miscellaneous
ADX,Adams Diversified Equity Fund Inc.,
ADXN,Addex Therapeutics Ltd American Depositary Shares,Health Care
ADXS,Advaxis Inc. Common Stock,Health Care
AE,Adams Resources & Energy Inc. Common Stock,Energy
