,Short_Ticker,Name,Sector
0,AAAU,Perth Mint Physical Gold ETF,Precious Metals
1,AADR,AdvisorShares Dorsey Wright ADR ETF,Global Equities
2,AAXJ,iShares MSCI All Country Asia ex-Japan ETF,Asia Pacific Equities
3,ABEQ,Absolute Core Strategy ETF,All Cap Equities
4,ACES,ALPS Clean Energy ETF,Alternative Energy Equities
5,ACIO,Aptus Collared Income Opportunity ETF,Diversified Portfolio
6,ACSG,Xtrackers MSCI ACWI ex USA ESG Leaders Equity ETF,Foreign Large Cap Equities
7,ACSI,American Customer Satisfaction Core Alpha ETF,Large Cap Growth Equities
8,ACTV,LeaderShares Activist Leaders ETF,
9,ACVF,American Conservative Values ETF,
10,ACWF,iShares Edge MSCI Multifactor Global ETF,Large Cap Blend Equities
11,ACWI,iShares MSCI ACWI ETF,Large Cap Growth Equities
12,ACWV,iShares Edge MSCI Min Vol Global ETF,Large Cap Blend Equities
13,ACWX,iShares MSCI ACWI ex U.S. ETF,Foreign Large Cap Equities
14,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Asia Pacific Equities
15,AFIF,Anfield Universal Fixed Income ETF,Total Bond Market
16,AFK,VanEck Vectors Africa Index ETF,Foreign Large Cap Equities
17,AFLG,First Trust Active Factor Large Cap ETF,Large Cap Growth Equities
18,AFMC,First Trust Active Factor Mid Cap ETF,Small Cap Blend Equities
19,AFSM,First Trust Active Factor Small Cap ETF,Small Cap Blend Equities
20,AFTY,Pacer CSOP FTSE China A50 ETF,China Equities
21,BAB,Invesco Taxable Municipal Bond ETF,National Munis
22,BAL,iPath Series B Bloomberg Cotton Subindex Total Return ETN,Agricultural Commodities
23,BAPR,Innovator S&P 500 Buffer ETF,Volatility Hedged Equity
24,BAR,GraniteShares Gold Trust,Precious Metals
25,BATT,Amplify Lithium & Battery Technology ETF,Commodity Producers Equities
26,BAUG,Innovator S&P 500 Buffer ETF,Large Cap Blend Equities
27,BBAX,JPMorgan BetaBuilders Developed Asia ex-Japan ETF,Asia Pacific Equities
28,BBC,Virtus LifeSci Biotech Clinical Trials ETF,Health & Biotech Equities
29,BBCA,JPMorgan BetaBuilders Canada ETF,Foreign Large Cap Equities
30,BBEU,JPMorgan BetaBuilders Europe ETF,Europe Equities
31,BBH,VanEck Vectors Biotech ETF,Health & Biotech Equities
32,BBIN,JPMorgan BetaBuilders International Equity ETF,Foreign Large Cap Equities
33,BBJP,JPMorgan BetaBuilders Japan ETF,Japan Equities
